filename,width,height,class,xmin,ymin,xmax,ymax
images (35).jpg,275,183,Manhole-Closed,105,46,212,97
images (36).jpg,339,149,Manhole-Closed,2,25,122,57
images (37).jpg,259,194,Manhole-Open,57,38,191,104
images (38).jpg,194,259,Manhole-Open,81,174,139,213
images (38).jpg,194,259,Manhole-Closed,63,120,98,138
images (39) - Copy.jpg,259,194,Manhole-Open,57,100,165,175
images (39) - Copy.jpg,259,194,car,1,1,96,109
images (39).jpg,259,194,Manhole-Open,60,106,162,177
images (39).jpg,259,194,car,1,1,96,106
images (4).jpg,290,174,Manhole-Closed,65,66,180,122
images (4).jpg,290,174,human,69,1,126,23
images (40).jpg,299,168,Manhole-Open,65,56,177,109
images (41).jpg,266,189,Manhole-Closed,11,47,56,62
images (41).jpg,266,189,Manhole-Closed,48,97,191,155
images (41).jpg,266,189,Manhole-Closed,137,49,200,87
images (41).jpg,266,189,Manhole-Closed,205,22,246,41
images (42).jpg,268,188,Manhole-Open,61,82,257,161
images (43) - Copy.jpg,275,183,Manhole-Open,47,74,154,123
images (43).jpg,275,183,Manhole-Open,49,69,164,123
images (44) - Copy.jpg,259,194,Manhole-Open,40,13,210,174
images (44) - Copy.jpg,259,194,human,137,58,185,128
images (44).jpg,259,194,Manhole-Open,40,16,209,165
images (44).jpg,259,194,human,135,66,188,128
images (45).jpg,275,183,Manhole-Closed,87,65,235,181
images (45).jpg,275,183,human,1,1,123,163
images (46).jpg,259,194,Manhole-Closed,98,23,259,125
images (47) - Copy.jpg,241,209,Manhole-Open,80,119,134,138
images (47) - Copy.jpg,241,209,Manhole-Open,92,152,206,195
images (47) - Copy.jpg,241,209,human,122,3,194,129
images (47) - Copy.jpg,241,209,human,102,38,139,120
images (47) - Copy.jpg,241,209,human,58,60,77,98
images (47) - Copy.jpg,241,209,human,29,69,41,97
images (47).jpg,241,209,Manhole-Open,95,153,206,197
images (47).jpg,241,209,Manhole-Open,78,116,138,139
images (47).jpg,241,209,human,103,38,139,113
images (47).jpg,241,209,human,125,6,196,127
images (47).jpg,241,209,human,57,60,78,100
images (48).jpg,284,178,Manhole-Open,121,143,180,169
images (48).jpg,284,178,human,162,58,172,86
images (48).jpg,284,178,car,63,54,88,69
images (48).jpg,284,178,car,5,49,36,69
images (48).jpg,284,178,car,212,54,229,73
images (48).jpg,284,178,car,236,57,275,72
images (48).jpg,284,178,human,268,55,276,77
images (48).jpg,284,178,car,101,54,109,60
images (49).jpg,300,168,Manhole-Open,60,81,147,107
images (49).jpg,300,168,human,162,2,180,19
images (49).jpg,300,168,human,202,1,216,27
images (49).jpg,300,168,human,216,1,236,32
images (49).jpg,300,168,human,235,2,261,26
images (5) - Copy.jpg,259,194,Manhole-Open,29,116,246,193
images (5) - Copy.jpg,259,194,car,72,1,227,61
images (5).jpg,259,194,Manhole-Open,26,117,225,190
images (5).jpg,259,194,car,69,1,220,57
images (50).jpg,291,173,Manhole-Closed,2,45,265,161
images (51).jpg,300,168,Manhole-Open,151,109,261,166
images (51).jpg,300,168,human,176,2,300,167
images (52) - Copy.jpg,279,180,Manhole-Open,13,69,169,169
images (52) - Copy.jpg,279,180,Manhole-Open,167,46,253,97
images (52) - Copy.jpg,279,180,human,196,11,249,67
images (52) - Copy.jpg,279,180,car,214,1,279,40
images (52).jpg,279,180,Manhole-Open,14,70,175,171
images (52).jpg,279,180,Manhole-Open,170,52,253,92
images (52).jpg,279,180,human,197,17,257,68
images (52).jpg,279,180,car,210,1,279,45
images (53).jpg,190,265,Manhole-Closed,10,130,137,182
images (53).jpg,190,265,Manhole-Closed,104,57,182,87
images (54).jpg,275,183,Manhole-Closed,59,32,227,161
images (55).jpg,259,194,Manhole-Open,29,45,171,158
images (55).jpg,259,194,human,108,1,256,186
images (56).jpg,291,173,Manhole-Closed,6,47,264,154
images (57).jpg,300,168,Manhole-Closed,128,39,235,114
images (58).jpg,275,183,Manhole-Open,100,58,202,112
images (59).jpg,275,183,Manhole-Open,99,97,190,151
images (59).jpg,275,183,car,138,14,210,57
images (59).jpg,275,183,human,210,9,256,133
images (6) - Copy.jpg,274,184,Manhole-Open,30,88,238,184
images (6) - Copy.jpg,274,184,human,120,1,250,96
images (6) - Copy.jpg,274,184,human,33,2,113,75
images (6) - Copy.jpg,274,184,human,165,7,262,91
images (6).jpg,274,184,Manhole-Open,28,83,246,184
images (6).jpg,274,184,human,36,1,113,78
images (6).jpg,274,184,human,119,2,257,96
images (60).jpg,259,194,Manhole-Open,74,91,150,127
images (61) - Copy.jpg,275,183,Manhole-Open,60,24,209,128
images (61).jpg,275,183,Manhole-Open,59,24,205,122
images (62) - Copy.jpg,275,183,Manhole-Open,91,97,226,159
images (62).jpg,275,183,Manhole-Open,91,98,229,162
images (63) - Copy.jpg,300,168,Manhole-Open,95,23,263,150
images (63) - Copy.jpg,300,168,human,102,1,141,31
images (63) - Copy.jpg,300,168,human,42,2,89,30
images (63).jpg,300,168,Manhole-Open,85,22,278,154
images (64) - Copy.jpg,246,205,Manhole-Open,55,83,182,176
images (64).jpg,246,205,Manhole-Open,51,87,167,167
images (65) - Copy.jpg,275,183,Manhole-Open,71,29,213,132
images (65).jpg,275,183,Manhole-Open,71,34,215,127
images (66) - Copy.jpg,300,168,Manhole-Open,58,104,271,168
images (66) - Copy.jpg,300,168,human,38,7,96,106
images (66).jpg,300,168,Manhole-Open,63,100,296,168
images (66).jpg,300,168,human,37,6,108,117
images (67) - Copy.jpg,259,194,Manhole-Open,99,139,150,184
images (67) - Copy.jpg,259,194,human,139,23,162,78
images (67).jpg,259,194,Manhole-Open,97,142,149,184
images (67).jpg,259,194,human,134,21,163,77
images (68).jpg,246,205,Manhole-Open,80,131,189,195
images (68).jpg,246,205,human,72,13,162,168
images (68).jpg,246,205,car,45,58,91,83
images (68).jpg,246,205,car,147,56,197,99
images (68).jpg,246,205,car,191,65,216,85
images (69).jpg,275,183,Manhole-Open,69,33,214,105
images (7).jpg,240,190,Manhole-Open,13,88,222,185
images (70).jpg,301,167,Manhole-Open,77,111,165,159
images (70).jpg,301,167,human,132,11,193,130
images (70).jpg,301,167,human,180,17,218,134
images (70).jpg,301,167,human,11,1,24,28
images (70).jpg,301,167,human,28,1,37,28
images (70).jpg,301,167,human,35,1,49,38
images (70).jpg,301,167,human,44,1,58,39
images (70).jpg,301,167,car,101,1,187,32
images (71).jpg,272,185,Manhole-Closed,59,116,183,178
images (71).jpg,272,185,car,144,27,266,75
images (71).jpg,272,185,car,26,29,63,55
images (71).jpg,272,185,car,62,31,85,50
images (71).jpg,272,185,car,81,32,95,46
images (71).jpg,272,185,car,141,35,158,47
images (72).jpg,288,175,Manhole-Closed,25,69,235,172
images (72).jpg,288,175,human,110,1,247,81
images (73).jpg,275,183,Manhole-Closed,69,56,252,171
images (74).jpg,275,183,Manhole-Open,114,29,262,155
images (75).jpg,274,184,Manhole-Open,45,59,250,181
images (75).jpg,274,184,human,55,1,228,156
images (76).jpg,275,183,Manhole-Open,83,136,173,174
images (76).jpg,275,183,human,78,81,180,170
images (76).jpg,275,183,car,3,66,103,103
images (76).jpg,275,183,car,218,72,253,89
images (77).jpg,246,205,Manhole-Open,50,30,237,180
images (78).jpg,294,171,car,1,13,72,107
images (78).jpg,294,171,human,108,26,130,94
images (78).jpg,294,171,human,134,36,153,92
images (78).jpg,294,171,human,157,35,179,97
images (78).jpg,294,171,human,186,31,208,94
images (78).jpg,294,171,human,220,1,293,171
images (78).jpg,294,171,Manhole-Open,145,119,248,144
images (78).jpg,294,171,Manhole-Open,134,141,282,171
images (79).jpg,165,220,Manhole-Open,31,43,164,169
images (8).jpg,194,259,Manhole-Open,38,183,180,224
images (80).jpg,259,195,Manhole-Open,24,19,209,186
images (81).jpg,275,183,Manhole-Closed,104,81,200,129
images (82).jpg,300,168,Manhole-Closed,108,67,200,102
images (83).jpg,300,168,Manhole-Open,22,114,89,153
images (83).jpg,300,168,human,183,23,206,45
images (83).jpg,300,168,human,226,20,254,84
images (83).jpg,300,168,human,249,15,281,90
images (83).jpg,300,168,human,269,20,287,62
images (83).jpg,300,168,car,284,19,299,43
images (84).jpg,300,168,Manhole-Closed,96,121,174,159
images (84).jpg,300,168,human,33,5,94,165
images (84).jpg,300,168,human,100,13,140,117
images (84).jpg,300,168,human,143,4,190,126
images (85).jpg,300,168,Manhole-Open,42,49,256,141
images (85).jpg,300,168,human,106,57,235,130
images (85).jpg,300,168,car,139,18,235,49
images (85).jpg,300,168,car,198,14,243,46
images (85).jpg,300,168,car,117,23,155,47
images (86).jpg,300,168,Manhole-Open,75,57,268,118
images (87).jpg,259,194,Manhole-Closed,85,104,175,164
images (88).jpg,299,168,Manhole-Closed,74,55,182,113
images (89).jpg,297,169,Manhole-Closed,63,42,268,144
images (9).jpg,296,170,Manhole-Open,87,75,216,162
images (9).jpg,296,170,human,184,1,272,127
images (90).jpg,253,199,Manhole-Open,94,104,140,129
images (90).jpg,253,199,human,197,6,243,89
images (91).jpg,299,168,Manhole-Closed,163,100,273,138
images (91).jpg,299,168,car,91,20,160,46
images (91).jpg,299,168,car,157,25,184,46
images (92).jpg,300,168,Manhole-Closed,54,48,255,131
images (93).jpg,245,206,Manhole-Closed,20,17,231,204
images (94).jpg,295,171,Manhole-Closed,45,20,227,166
images (94).jpg,295,171,human,234,2,293,118
images (95).jpg,300,168,Manhole-Closed,2,49,300,137
images (96).jpg,275,183,Manhole-Closed,73,94,204,173
images (97).jpg,300,168,Manhole-Open,50,21,299,136
images (98).jpg,300,168,Manhole-Open,99,94,170,139
images (99).jpg,276,183,Manhole-Closed,99,100,254,175
images (99).jpg,276,183,human,117,1,240,71
images (99).jpg,276,183,human,2,1,67,61
images (99).jpg,276,183,human,197,1,272,67
images.jpg,275,183,Manhole-Closed,100,111,226,162
Mumbai_571_855.jpg,855,513,human,210,237,264,336
Mumbai_571_855.jpg,855,513,car,314,136,389,205
Mumbai_571_855.jpg,855,513,Manhole-Closed,224,430,319,455
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,7,5,130,300
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,121,1,244,295
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,345,297,468,593
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,224,304,347,600
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,122,305,245,600
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,1,293,122,593
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,468,3,591,299
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,361,3,484,299
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,235,2,358,298
standing2.jpga5b038ab-38d3-4f6c-be95-6be109aa4ef9Large.jpg,600,600,human,469,304,592,600
